old_table,new_table,module,field_name,status,old_type,old_raw_type,old_length,old_not_null,old_has_default,old_default,old_unique,old_pk,old_auto_inc,new_type,new_raw_type,new_length,new_not_null,new_has_default,new_default,new_unique,new_pk,new_auto_inc,type_match,not_null_match,default_match,unique_match,pk_match
zhs_order,orders,order,platform_type,missing_in_new,varchar,String,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,pay_type,missing_in_new,varchar,String,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_order,orders,order,order_no,new_in_new,,,,,,,,,,varchar,varchar,64,yes,no,,yes,no,no,,,,,
zhs_order,orders,order,plan_id,new_in_new,,,,,,,,,,uuid,uuid,,no,no,,no,no,no,,,,,
zhs_order,orders,order,currency,new_in_new,,,,,,,,,,varchar,varchar,8,yes,yes,'CNY',no,no,no,,,,,
zhs_order,orders,order,payment_method,new_in_new,,,,,,,,,,varchar,varchar,16,no,no,,no,no,no,,,,,
zhs_order,orders,order,expires_at,new_in_new,,,,,,,,,,timestamp,timestamp,,no,no,,no,no,no,,,,,
zhs_order,orders,order,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_order_item,edu_order_items,order,id,matched,bigint,bigint,,yes,no,,no,yes,yes,integer,serial,,yes,no,,no,yes,yes,yes,yes,yes,yes,yes
t_order_item,edu_order_items,order,order_id,matched,bigint,bigint,,yes,no,,no,no,no,integer,integer,,yes,no,,no,no,no,yes,yes,yes,yes,yes
t_order_item,edu_order_items,order,item_id,missing_in_new,varchar,varchar(100),100,yes,no,,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,title,missing_in_new,varchar,varchar(500),500,yes,no,,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,image,missing_in_new,varchar,varchar(2000),2000,yes,no,,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,original_price,missing_in_new,decimal,decimal(14, 2),,yes,no,,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,price,matched,decimal,decimal(14, 2),,yes,no,,no,no,no,decimal,decimal,,no,no,,no,no,no,yes,no,yes,yes,yes
t_order_item,edu_order_items,order,quantity,matched,integer,int,,yes,no,,no,no,no,integer,integer,,no,yes,1,no,no,no,yes,no,no,yes,yes
t_order_item,edu_order_items,order,payment_amount,missing_in_new,decimal,decimal(14, 2),,yes,no,,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_order_item,edu_order_items,order,product_id,new_in_new,,,,,,,,,,integer,integer,,no,no,,no,no,no,,,,,
t_order_item,edu_order_items,order,product_name,new_in_new,,,,,,,,,,varchar,varchar,255,no,no,,no,no,no,,,,,
t_order_item,edu_order_items,order,subtotal,new_in_new,,,,,,,,,,decimal,decimal,,no,no,,no,no,no,,,,,
t_order_item,edu_order_items,order,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_member_group,member_groups,member,id,matched,bigint,bigint,,yes,no,,no,yes,yes,uuid,uuid,,yes,yes,random(),no,yes,no,no,yes,no,yes,yes
t_member_group,member_groups,member,name,matched,varchar,varchar(100),100,yes,yes,,no,no,no,varchar,varchar,100,yes,no,,no,no,no,yes,yes,no,yes,yes
t_member_group,member_groups,member,sort_order,missing_in_new,integer,int,,yes,yes,0,no,no,no,,,,,,,,,,,,,,
t_member_group,member_groups,member,status,matched,varchar,varchar(30),30,yes,yes,enable,no,no,no,varchar,varchar,20,yes,yes,'active',no,no,no,yes,yes,yes,yes,yes
t_member_group,member_groups,member,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_member_group,member_groups,member,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_member_group,member_groups,member,description,new_in_new,,,,,,,,,,text,text,,no,no,,no,no,no,,,,,
t_member_group,member_groups,member,sort,new_in_new,,,,,,,,,,integer,integer,,yes,yes,0,no,no,no,,,,,
t_member_group,member_groups,member,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_member_group,member_groups,member,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_member_post,member_posts,member,id,matched,bigint,bigint,,yes,no,,no,yes,yes,uuid,uuid,,yes,yes,random(),no,yes,no,no,yes,no,yes,yes
t_member_post,member_posts,member,name,matched,varchar,varchar(100),100,yes,yes,,no,no,no,varchar,varchar,100,yes,no,,no,no,no,yes,yes,no,yes,yes
t_member_post,member_posts,member,sort_order,missing_in_new,integer,int,,yes,yes,0,no,no,no,,,,,,,,,,,,,,
t_member_post,member_posts,member,status,matched,varchar,varchar(30),30,yes,yes,enable,no,no,no,varchar,varchar,20,yes,yes,'active',no,no,no,yes,yes,yes,yes,yes
t_member_post,member_posts,member,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_member_post,member_posts,member,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_member_post,member_posts,member,code,new_in_new,,,,,,,,,,varchar,varchar,50,no,no,,no,no,no,,,,,
t_member_post,member_posts,member,sort,new_in_new,,,,,,,,,,integer,integer,,yes,yes,0,no,no,no,,,,,
t_member_post,member_posts,member,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_member_post,member_posts,member,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_member_tag,member_tags,member,id,matched,bigint,bigint,,yes,no,,no,yes,yes,uuid,uuid,,yes,yes,random(),no,yes,no,no,yes,no,yes,yes
t_member_tag,member_tags,member,name,matched,varchar,varchar(100),100,yes,yes,,no,no,no,varchar,varchar,100,yes,no,,no,no,no,yes,yes,no,yes,yes
t_member_tag,member_tags,member,sort_order,missing_in_new,integer,int,,yes,yes,0,no,no,no,,,,,,,,,,,,,,
t_member_tag,member_tags,member,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_member_tag,member_tags,member,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_member_tag,member_tags,member,color,new_in_new,,,,,,,,,,varchar,varchar,20,no,no,,no,no,no,,,,,
t_member_tag,member_tags,member,sort,new_in_new,,,,,,,,,,integer,integer,,yes,yes,0,no,no,no,,,,,
t_member_tag,member_tags,member,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_member_tag,member_tags,member,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_announcement,announcements,message,id,matched,bigint,bigint,,yes,no,,no,yes,yes,uuid,uuid,,yes,yes,random(),no,yes,no,no,yes,no,yes,yes
t_announcement,announcements,message,title,matched,varchar,varchar(2000),2000,yes,no,,no,no,no,varchar,varchar,255,yes,no,,no,no,no,yes,yes,yes,yes,yes
t_announcement,announcements,message,content,matched,text,text,,yes,no,,no,no,no,text,text,,yes,no,,no,no,no,yes,yes,yes,yes,yes
t_announcement,announcements,message,status,missing_in_new,varchar,varchar(100),100,no,yes,NULL,no,no,no,,,,,,,,,,,,,,
t_announcement,announcements,message,publish_time,missing_in_new,timestamp,timestamp,,yes,no,,no,no,no,,,,,,,,,,,,,,
t_announcement,announcements,message,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_announcement,announcements,message,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_announcement,announcements,message,type,new_in_new,,,,,,,,,,varchar,varchar,32,yes,yes,'info',no,no,no,,,,,
t_announcement,announcements,message,is_pinned,new_in_new,,,,,,,,,,boolean,boolean,,yes,yes,false,no,no,no,,,,,
t_announcement,announcements,message,is_published,new_in_new,,,,,,,,,,boolean,boolean,,yes,yes,false,no,no,no,,,,,
t_announcement,announcements,message,published_at,new_in_new,,,,,,,,,,timestamp,timestamp,,no,no,,no,no,no,,,,,
t_announcement,announcements,message,expires_at,new_in_new,,,,,,,,,,timestamp,timestamp,,no,no,,no,no,no,,,,,
t_announcement,announcements,message,created_by,new_in_new,,,,,,,,,,uuid,uuid,,no,no,,no,no,no,,,,,
t_announcement,announcements,message,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_announcement,announcements,message,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_notice,sys_notice,message,id,missing_in_new,bigint,bigint,,yes,no,,no,yes,yes,,,,,,,,,,,,,,
t_notice,sys_notice,message,topic_id,missing_in_new,bigint,bigint,,yes,no,,no,no,no,,,,,,,,,,,,,,
t_notice,sys_notice,message,topic_type,missing_in_new,varchar,varchar(100),100,yes,no,,no,no,no,,,,,,,,,,,,,,
t_notice,sys_notice,message,to_member_id,missing_in_new,bigint,bigint,,yes,no,,no,no,no,,,,,,,,,,,,,,
t_notice,sys_notice,message,status,matched,varchar,varchar(100),100,no,yes,NULL,no,no,no,varchar,varchar,1,yes,yes,'0',no,no,no,yes,no,yes,yes,yes
t_notice,sys_notice,message,type,missing_in_new,varchar,varchar(100),100,yes,no,,no,no,no,,,,,,,,,,,,,,
t_notice,sys_notice,message,browsed,missing_in_new,boolean,tinyint,,yes,yes,0,no,no,no,,,,,,,,,,,,,,
t_notice,sys_notice,message,member_id,missing_in_new,bigint,bigint,,yes,no,,no,no,no,,,,,,,,,,,,,,
t_notice,sys_notice,message,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_notice,sys_notice,message,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_notice,sys_notice,message,notice_id,new_in_new,,,,,,,,,,integer,serial,,yes,no,,no,yes,yes,,,,,
t_notice,sys_notice,message,notice_title,new_in_new,,,,,,,,,,varchar,varchar,50,yes,no,,no,no,no,,,,,
t_notice,sys_notice,message,notice_type,new_in_new,,,,,,,,,,varchar,varchar,1,yes,no,,no,no,no,,,,,
t_notice,sys_notice,message,notice_content,new_in_new,,,,,,,,,,text,text,,no,no,,no,no,no,,,,,
t_notice,sys_notice,message,create_by,new_in_new,,,,,,,,,,varchar,varchar,64,no,no,,no,no,no,,,,,
t_notice,sys_notice,message,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_notice,sys_notice,message,update_by,new_in_new,,,,,,,,,,varchar,varchar,64,no,no,,no,no,no,,,,,
t_notice,sys_notice,message,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_notice,sys_notice,message,remark,new_in_new,,,,,,,,,,varchar,varchar,255,no,no,,no,no,no,,,,,
t_system_notice,message_system_notice,message,id,matched,bigint,bigint,,yes,no,,no,yes,yes,integer,serial,,yes,no,,no,yes,yes,yes,yes,yes,yes,yes
t_system_notice,message_system_notice,message,content,matched,text,text,,yes,no,,no,no,no,text,text,,yes,no,,no,no,no,yes,yes,yes,yes,yes
t_system_notice,message_system_notice,message,create_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_system_notice,message_system_notice,message,update_time,missing_in_new,timestamp,timestamp,,no,yes,CURRENT_TIMESTAMP,no,no,no,,,,,,,,,,,,,,
t_system_notice,message_system_notice,message,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
t_system_notice,message_system_notice,message,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
zhs_agent_category,zhs_agent_category,ai,id,matched,varchar,varchar(36),36,yes,yes,,no,yes,no,integer,serial,,yes,no,,no,yes,yes,no,yes,no,yes,yes
zhs_agent_category,zhs_agent_category,ai,agent_id,matched,varchar,varchar(64),64,no,yes,NULL,no,no,no,varchar,varchar,64,no,no,,no,no,no,yes,yes,no,yes,yes
zhs_agent_category,zhs_agent_category,ai,agent_name,missing_in_new,varchar,varchar(128),128,no,yes,NULL,no,no,no,,,,,,,,,,,,,,
zhs_agent_category,zhs_agent_category,ai,create_uuid,matched,varchar,varchar(36),36,no,yes,NULL,no,no,no,varchar,varchar,36,no,no,,no,no,no,yes,yes,no,yes,yes
zhs_agent_category,zhs_agent_category,ai,create_name,matched,varchar,varchar(128),128,no,yes,NULL,no,no,no,varchar,varchar,128,no,no,,no,no,no,yes,yes,no,yes,yes
zhs_agent_category,zhs_agent_category,ai,create_time,matched,timestamp,datetime,,no,yes,NULL,no,no,no,timestamp,timestamp,,no,no,,no,no,no,yes,yes,no,yes,yes
zhs_agent_category,zhs_agent_category,ai,agent_main_category,matched,varchar,varchar(2),2,no,yes,NULL,no,no,no,varchar,varchar,2,no,no,,no,no,no,yes,yes,no,yes,yes
zhs_agent_category,zhs_agent_category,ai,agent_category,matched,varchar,varchar(2),2,no,yes,NULL,no,no,no,varchar,varchar,2,no,no,,no,no,no,yes,yes,no,yes,yes
zhs_agent_category,zhs_agent_category,ai,type,matched,varchar,varchar(2),2,no,yes,NULL,no,no,no,varchar,varchar,10,yes,yes,'1',no,no,no,yes,no,yes,yes,yes
zhs_agent_category,zhs_agent_category,ai,type_child,matched,varchar,varchar(2),2,no,yes,NULL,no,no,no,varchar,varchar,10,yes,yes,'1',no,no,no,yes,no,yes,yes,yes
zhs_agent_category,zhs_agent_category,ai,account,matched,integer,int(10),10,no,yes,NULL,no,no,no,integer,integer,,yes,yes,0,no,no,no,yes,no,yes,yes,yes
zhs_agent_category,zhs_agent_category,ai,group,matched,varchar,varchar(2),2,no,yes,NULL,no,no,no,integer,integer,,yes,yes,2,no,no,no,no,no,yes,yes,yes
zhs_agent_category,zhs_agent_category,ai,limit_free,matched,varchar,varchar(2),2,no,yes,NULL,no,no,no,varchar,varchar,10,no,no,,no,no,no,yes,yes,no,yes,yes
zhs_agent_category,zhs_agent_category,ai,discount_month,matched,varchar,varchar(5),5,no,yes,NULL,no,no,no,varchar,varchar,5,no,no,,no,no,no,yes,yes,no,yes,yes
zhs_agent_category,zhs_agent_category,ai,prologue,matched,text,text,,no,yes,NULL,no,no,no,text,text,,no,no,,no,no,no,yes,yes,no,yes,yes
zhs_agent_category,zhs_agent_category,ai,created_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
zhs_agent_category,zhs_agent_category,ai,updated_at,new_in_new,,,,,,,,,,timestamp,timestamp,,yes,yes,now(),no,no,no,,,,,
zhs_user_agent_free_times,zhs_user_agent_free_time,ai,id,matched,bigint,Long,,no,no,,no,no,no,integer,serial,,yes,no,,no,yes,yes,yes,no,yes,yes,no
zhs_user_agent_free_times,zhs_user_agent_free_time,ai,user_id,missing_in_new,integer,Integer,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_user_agent_free_times,zhs_user_agent_free_time,ai,agent_user_id,missing_in_new,bigint,Long,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_user_agent_free_times,zhs_user_agent_free_time,ai,times,missing_in_new,integer,Integer,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_user_agent_free_times,zhs_user_agent_free_time,ai,created_at,matched,bigint,Long,,no,no,,no,no,no,timestamp,timestamp,,yes,yes,now(),no,no,no,no,no,no,yes,yes
zhs_user_agent_free_times,zhs_user_agent_free_time,ai,updated_at,matched,bigint,Long,,no,no,,no,no,no,timestamp,timestamp,,yes,yes,now(),no,no,no,no,no,no,yes,yes
zhs_user_agent_free_times,zhs_user_agent_free_time,ai,agent_id,matched,bigint,Long,,no,no,,no,no,no,varchar,varchar,64,no,no,,no,no,no,no,yes,yes,yes,yes
zhs_user_agent_free_times,zhs_user_agent_free_time,ai,degree,missing_in_new,integer,int,,no,no,,no,no,no,,,,,,,,,,,,,,
zhs_user_agent_free_times,zhs_user_agent_free_time,ai,user_uuid,new_in_new,,,,,,,,,,varchar,varchar,64,yes,no,,no,no,no,,,,,
zhs_user_agent_free_times,zhs_user_agent_free_time,ai,free_count,new_in_new,,,,,,,,,,integer,integer,,yes,yes,0,no,no,no,,,,,
zhs_user_agent_free_times,zhs_user_agent_free_time,ai,used_count,new_in_new,,,,,,,,,,integer,integer,,yes,yes,0,no,no,no,,,,,
zhs_user_agent_free_times,zhs_user_agent_free_time,ai,expire_time,new_in_new,,,,,,,,,,timestamp,timestamp,,no,no,,no,no,no,,,,,
t_role,edu_role,role,id,matched,bigint,bigint,,yes,no,,no,yes,yes,integer,serial,,yes,no,,no,yes,yes,yes,yes,yes,yes,yes
